Win,Team,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,Vision Score,Total damage to Champion,DPM,K+A Per Minute,KP%,GD@15,CSD@15,XPD@15,LVLD@15,Total damage taken
0,HLE,Deft,ADC,2,6,7,1.5,285,9.5,11891,396,39,16066,535,0.3,0.563,-1469,2,-183,0,18330
0,HLE,Vsta,SUPPORT,1,7,10,1.6,25,0.8,6472,216,69,3796,126,0.37,0.688,-246,-1,-138,0,16241
1,NS,Rich,TOP,3,3,2,1.7,233,7.2,11369,352,52,18080,559,0.15,0.625,-370,0,-129,-1,12523
1,NS,Peanut,JUNGLE,2,0,4,7.2,227,7,11418,353,69,12244,379,0.19,0.75,475,36,1530,1,28618
1,NS,Bay,MID,0,1,3,3,303,9.4,11804,365,27,11206,347,0.09,0.375,236,19,1057,1,8008
1,NS,deokdam,ADC,2,0,5,8.4,312,9.7,14901,461,35,13491,417,0.22,0.875,2005,8,320,0,11344
1,NS,Kellin,SUPPORT,1,1,7,8,33,1,7489,232,84,4075,126,0.25,1,391,2,114,0,11095
0,LSB,Summit,TOP,1,1,1,2,280,8.7,11552,357,35,8050,249,0.06,0.4,370,0,129,1,18066
0,LSB,Croco,JUNGLE,3,2,1,2,172,5.3,10110,313,44,8545,264,0.12,0.8,-475,-36,-1530,-1,31472
0,LSB,FATE,MID,1,0,3,4.8,256,7.9,10833,335,24,13174,408,0.12,0.8,-236,-19,-1057,-1,9238
0,LSB,Route,ADC,0,1,2,2,254,7.9,10319,319,46,8954,277,0.06,0.4,-2005,-8,-320,0,11208
0,LSB,Effort,SUPPORT,0,4,2,0.5,40,1.2,6255,194,95,1663,51,0.06,0.4,-391,-2,-114,0,13678
1,LSB,Summit,TOP,2,2,17,9.5,144,5.5,9122,345,23,11332,429,0.72,0.679,-1093,-20,408,0,21553
1,LSB,Croco,JUNGLE,7,1,14,21,180,6.8,12216,462,46,19787,749,0.79,0.75,1074,-3,251,0,14749
1,LSB,FATE,MID,7,2,10,8.5,209,7.9,11592,439,25,20137,762,0.64,0.607,1281,12,-240,0,7783
1,LSB,Route,ADC,11,0,11,26.4,244,9.2,14138,535,33,18289,692,0.83,0.786,2223,27,1988,2,15868
1,LSB,Effort,SUPPORT,1,1,18,19,30,1.1,7682,291,63,6417,243,0.72,0.679,827,5,195,0,13006
