Team,Player,Role,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Damage dealt to turrets,Total heal,Damage self mitigated,Time ccing others,Total damage taken,Win
T1,Clozer,MID,2,0,7,10.8,272,12,0,8.8,12354,401,0.207,35,15,5,6,1.14,0.49,0.19,0.16,0.14,9114,41,9073,0,296,0.239,0.29,0.75,,0,0,0,0,-418,-28,-537,0,3828,4413,17492,11,16424,1
T1,Gumayusi,ADC,2,0,3,6,363,10,4,11.8,14852,482,0.249,57,15,16,7,1.85,0.49,0.23,0.52,0.228,10928,8960,637,1331,355,0.286,0.16,0.417,,0,0,0,0,1015,26,738,1,13915,3425,6722,11,8330,1
T1,Keria,SUPPORT,2,1,7,9,45,0,0,1.5,8504,276,0.143,93,48,18,16,3.02,1.56,0.52,0.58,0.372,2475,507,1968,0,80,0.065,0.29,0.75,,0,0,0,0,649,3,597,1,541,1258,4558,12,8691,1
HLE,Morgan,TOP,0,3,0,0,218,1,0,7.1,9048,294,0.197,32,16,4,8,1.04,0.52,0.26,0.13,0.129,9299,7487,1812,0,302,0.213,0,0,,0,0,0,0,152,14,-420,0,1539,1949,10099,15,11611,0
HLE,Arthur,JUNGLE,0,2,0,0,194,112,4,6.3,8568,278,0.187,43,8,10,9,1.4,0.26,0.29,0.32,0.173,7810,6539,376,895,253,0.179,0,0,,0,0,0,0,-1349,0,-999,-1,0,6166,9468,9,15447,0
HLE,Chovy,MID,0,1,0,0,332,13,0,10.8,11800,383,0.257,47,17,11,7,1.53,0.55,0.23,0.36,0.19,14136,2099,10786,1251,459,0.325,0,0,,0,0,0,0,418,28,537,0,301,1967,2708,28,5734,0
HLE,Deft,ADC,0,1,0,0,286,21,0,9.3,10727,348,0.234,32,15,5,2,1.04,0.49,0.06,0.16,0.129,9261,5948,2529,784,301,0.213,0,0,,0,0,0,0,-1015,-26,-738,-1,0,4818,7440,0,13177,0
HLE,Vsta,SUPPORT,0,5,0,0,39,0,0,1.3,5791,188,0.126,94,58,17,23,3.05,1.88,0.75,0.55,0.379,3053,2086,30,937,99,0.07,0,0,,0,0,0,0,-649,-3,-597,-1,0,115,9751,10,12760,0
HLE,Morgan,TOP,1,1,7,8,197,0,0,6.6,10586,355,0.186,32,13,4,8,1.07,0.44,0.27,0.13,0.127,10391,8865,0,1526,349,0.194,0.27,0.471,,0,0,0,0,-800,-14,-516,0,4751,2354,16037,15,16820,1
HLE,Arthur,JUNGLE,5,2,8,6.5,170,89,0,5.7,11515,387,0.203,42,12,11,12,1.41,0.4,0.4,0.37,0.167,9329,6146,9,3174,313,0.174,0.44,0.765,,0,0,0,0,459,-2,758,1,1642,15316,18929,3,25656,1
HLE,Chovy,MID,3,2,10,6.5,305,32,4,10.2,13557,455,0.239,34,15,7,8,1.14,0.5,0.27,0.24,0.135,17409,1275,16134,0,585,0.324,0.44,0.765,1,0,0,0,0,427,6,-168,0,3465,395,7478,22,8826,1
HLE,Deft,ADC,8,1,3,11,265,8,0,8.9,13899,467,0.245,31,18,8,1,1.04,0.6,0.03,0.27,0.123,13480,9526,3061,893,453,0.251,0.37,0.647,,0,2,0,0,-595,-32,-416,-1,3976,6657,8349,4,12716,1
HLE,Vsta,SUPPORT,0,2,11,5.5,48,0,0,1.6,7244,243,0.128,113,49,27,19,3.79,1.65,0.64,0.91,0.448,3070,247,2421,402,103,0.057,0.37,0.647,,0,0,0,0,4,2,-83,0,0,631,8758,11,8917,1
T1,Canna,TOP,1,3,5,2,265,0,5,8.9,12562,422,0.24,37,9,7,3,1.24,0.3,0.1,0.24,0.172,9097,6415,659,2023,305,0.202,0.2,0.75,,0,0,0,0,800,14,516,0,11042,6570,14828,9,17727,0
T1,Ellim,JUNGLE,0,1,6,6,205,127,9,6.9,9767,328,0.187,58,11,21,10,1.95,0.37,0.34,0.71,0.27,6697,5570,420,707,225,0.149,0.2,0.75,,0,0,0,0,-459,2,-758,-1,979,2501,13849,10,8650,0
T1,Clozer,MID,0,5,5,1,243,11,0,8.2,9581,322,0.183,25,13,3,5,0.84,0.44,0.17,0.1,0.116,10626,1460,8658,508,357,0.236,0.17,0.625,,0,0,0,0,-427,-6,168,0,157,3921,8738,18,17165,0
T1,Gumayusi,ADC,7,2,0,3.5,283,4,2,9.5,14275,479,0.273,29,14,7,6,0.97,0.47,0.2,0.24,0.135,15640,13013,2358,269,525,0.348,0.24,0.875,,1,1,0,0,595,32,416,1,2150,2910,5413,15,11053,0
T1,Keria,SUPPORT,0,6,7,1.2,32,0,0,1.1,6132,206,0.117,66,51,9,19,2.22,1.71,0.64,0.3,0.307,2947,327,2620,0,99,0.065,0.24,0.875,,0,0,0,0,-4,-2,83,0,0,2966,19639,19,16244,0
T1,Canna,TOP,3,3,6,3,267,7,4,8.9,13393,446,0.205,24,10,4,4,0.8,0.33,0.13,0.13,0.119,10290,8848,1382,60,343,0.151,0.3,0.375,,1,0,0,0,1551,22,-109,0,5498,10213,21169,13,30921,1
T1,Ellim,JUNGLE,5,3,7,4,205,72,39,6.8,12250,408,0.188,53,15,16,14,1.77,0.5,0.47,0.53,0.264,13296,718,11442,1136,443,0.196,0.4,0.5,,0,0,0,0,-341,-6,-414,-1,341,10957,9484,16,18584,1
T1,Clozer,MID,3,2,9,6,291,12,3,9.7,14271,475,0.219,17,11,2,3,0.57,0.37,0.1,0.07,0.085,10703,6620,4083,0,357,0.157,0.4,0.5,1,0,0,0,0,-88,6,-45,0,4140,7941,17225,10,24775,1
T1,Gumayusi,ADC,12,2,7,9.5,285,20,1,9.5,17120,570,0.262,39,11,14,4,1.3,0.37,0.13,0.47,0.194,16737,14266,1903,568,558,0.246,0.63,0.792,,1,0,1,0,1469,-2,183,0,11784,8632,9898,2,20452,1
T1,Keria,SUPPORT,1,6,14,2.5,40,0,0,1.3,8190,273,0.126,68,47,11,19,2.27,1.57,0.63,0.37,0.338,16958,483,15723,752,565,0.249,0.5,0.625,,0,0,0,0,246,1,138,0,0,4420,11740,47,17842,1
HLE,Morgan,TOP,0,3,6,2,202,1,0,6.7,9139,304,0.179,36,10,8,9,1.2,0.33,0.3,0.27,0.159,10037,3741,6296,0,334,0.149,0.2,0.375,,0,0,0,0,-1551,-22,109,0,985,2267,30044,17,18992,0
HLE,Arthur,JUNGLE,8,4,5,3.3,167,80,16,5.6,10947,365,0.214,38,5,13,8,1.27,0.17,0.27,0.43,0.167,12702,10919,933,850,423,0.189,0.43,0.813,,1,0,0,0,341,6,414,1,0,4380,9990,12,16212,0
HLE,Chovy,MID,5,4,7,3,235,11,0,7.8,12602,420,0.247,45,19,11,8,1.5,0.63,0.27,0.37,0.198,24612,834,23658,120,820,0.366,0.4,0.75,,1,0,0,0,88,-6,45,0,1507,1500,14130,23,12904,0
HLE,Deft,ADC,2,6,7,1.5,285,22,0,9.5,11891,396,0.233,39,22,10,4,1.3,0.73,0.13,0.33,0.172,16066,9812,5080,1174,535,0.239,0.3,0.563,,0,0,0,0,-1469,2,-183,0,111,4668,10600,1,18330,0
HLE,Vsta,SUPPORT,1,7,10,1.6,25,0,0,0.8,6472,216,0.127,69,46,6,17,2.3,1.53,0.57,0.2,0.304,3796,341,3017,438,126,0.056,0.37,0.688,,0,0,0,0,-246,-1,-138,0,0,1949,14665,13,16241,0
NS,Rich,TOP,3,3,2,1.7,233,3,4,7.2,11369,352,0.2,52,20,16,9,1.61,0.62,0.28,0.5,0.195,18080,16218,1862,0,559,0.306,0.15,0.625,,1,0,0,0,-370,0,-129,-1,5123,3375,9348,4,12523,1
NS,Peanut,JUNGLE,2,0,4,7.2,227,129,12,7,11418,353,0.2,69,9,24,8,2.14,0.28,0.25,0.74,0.258,12244,755,11182,307,379,0.207,0.19,0.75,,0,0,0,0,475,36,1530,1,478,22763,17910,0,28618,1
NS,Bay,MID,0,1,3,3,303,8,0,9.4,11804,365,0.207,27,20,2,10,0.84,0.62,0.31,0.06,0.101,11206,360,10846,0,347,0.19,0.09,0.375,,0,0,0,0,236,19,1057,1,1191,1658,5125,14,8008,1
NS,deokdam,ADC,2,0,5,8.4,312,24,4,9.7,14901,461,0.262,35,12,13,7,1.08,0.37,0.22,0.4,0.131,13491,11378,1535,578,417,0.228,0.22,0.875,,0,0,0,0,2005,8,320,0,8458,4994,9369,11,11344,1
NS,Kellin,SUPPORT,1,1,7,8,33,0,0,1,7489,232,0.131,84,59,8,19,2.6,1.83,0.59,0.25,0.315,4075,791,2632,652,126,0.069,0.25,1,,0,0,0,0,391,2,114,0,240,2178,8142,14,11095,1
SB,Summit,TOP,1,1,1,2,280,12,0,8.7,11552,357,0.235,35,21,7,13,1.08,0.65,0.4,0.22,0.143,8050,7696,354,0,249,0.199,0.06,0.4,,0,0,0,0,370,0,129,1,1485,2879,20328,17,18066,0
SB,Croco,JUNGLE,3,2,1,2,172,112,0,5.3,10110,313,0.206,44,14,14,12,1.36,0.43,0.37,0.43,0.18,8545,6531,151,1863,264,0.212,0.12,0.8,,0,0,0,0,-475,-36,-1530,-1,768,15149,23308,7,31472,0
SB,FATE,MID,1,0,3,4.8,256,12,0,7.9,10833,335,0.221,24,10,3,5,0.74,0.31,0.15,0.09,0.098,13174,1067,10257,1850,408,0.326,0.12,0.8,,0,0,0,0,-236,-19,-1057,-1,307,5243,5258,17,9238,0
SB,Route,ADC,0,1,2,2,254,5,0,7.9,10319,319,0.21,46,14,9,7,1.42,0.43,0.22,0.28,0.189,8954,5548,2800,606,277,0.222,0.06,0.4,,0,0,0,0,-2005,-8,-320,0,2118,2818,4832,10,11208,0
SB,Effort,SUPPORT,0,4,2,0.5,40,0,0,1.2,6255,194,0.127,95,52,16,20,2.94,1.61,0.62,0.5,0.389,1663,306,1357,0,51,0.041,0.06,0.4,,0,0,0,0,-391,-2,-114,0,518,383,15264,7,13678,0
SB,Summit,TOP,2,2,17,9.5,144,0,0,5.5,9122,345,0.167,23,14,2,7,0.87,0.53,0.26,0.08,0.121,11332,4250,6892,190,429,0.149,0.72,0.679,,0,0,0,0,-1093,-20,408,0,449,2503,26517,29,21553,1
SB,Croco,JUNGLE,7,1,14,21,180,76,13,6.8,12216,462,0.223,46,8,12,8,1.74,0.3,0.3,0.45,0.242,19787,15565,2064,2158,749,0.26,0.79,0.75,,1,0,0,0,1074,-3,251,0,6244,6698,10978,22,14749,1
SB,FATE,MID,7,2,10,8.5,209,12,0,7.9,11592,439,0.212,25,11,1,4,0.95,0.42,0.15,0.04,0.132,20137,2151,15579,2407,762,0.265,0.64,0.607,,1,0,0,0,1281,12,-240,0,4804,2096,3395,7,7783,1
SB,Route,ADC,11,0,11,26.4,244,4,8,9.2,14138,535,0.258,33,16,4,8,1.25,0.61,0.3,0.15,0.174,18289,15408,2195,686,692,0.241,0.83,0.786,,3,0,0,0,2223,27,1988,2,7939,6094,11513,10,15868,1
SB,Effort,SUPPORT,1,1,18,19,30,0,0,1.1,7682,291,0.14,63,36,8,13,2.38,1.36,0.49,0.3,0.332,6417,387,5402,628,243,0.084,0.72,0.679,,0,0,0,0,827,5,195,0,4207,11762,19773,31,13006,1
NS,Rich,TOP,3,5,1,0.8,194,1,0,7.3,10206,386,0.245,27,8,9,3,1.02,0.3,0.11,0.34,0.156,15854,13672,1982,200,600,0.315,0.15,0.667,1,1,0,0,0,1093,20,-408,0,3568,4499,22211,38,23753,0
NS,Peanut,JUNGLE,0,4,3,0.8,179,98,18,6.8,9115,345,0.219,32,6,6,6,1.21,0.23,0.23,0.23,0.185,10100,7199,0,2901,382,0.201,0.11,0.5,,0,0,0,0,-1074,3,-251,0,2884,14569,22838,12,29952,0
NS,Bay,MID,1,5,4,1,196,1,0,7.4,8834,334,0.212,26,12,4,5,0.98,0.45,0.19,0.15,0.15,7932,443,7489,0,300,0.158,0.19,0.833,,0,0,0,0,-1281,-12,240,0,3224,3225,16767,9,17829,0
NS,deokdam,ADC,2,5,1,0.6,179,4,0,6.8,8135,308,0.195,29,9,8,3,1.1,0.34,0.11,0.3,0.168,8999,8555,444,0,341,0.179,0.11,0.5,,0,0,0,0,-2223,-27,-1988,-2,0,3185,6051,23,12910,0
NS,Kellin,SUPPORT,0,9,5,0.6,31,0,0,1.2,5414,205,0.13,59,47,4,15,2.23,1.78,0.57,0.15,0.341,7469,677,6316,476,283,0.148,0.19,0.833,,0,0,0,0,-827,-5,-195,0,0,1378,18900,40,15958,0
NS,Rich,TOP,1,2,5,3,194,0,0,6.3,10517,343,0.194,38,9,11,5,1.24,0.29,0.16,0.36,0.165,7863,7396,467,0,257,0.166,0.2,0.6,,0,0,0,0,-2230,-33,-1215,-1,3547,4653,12667,13,18698,1
NS,Peanut,JUNGLE,2,1,6,8,175,106,4,5.7,10388,339,0.192,42,5,13,4,1.37,0.16,0.13,0.42,0.182,9065,7321,0,1744,296,0.191,0.26,0.8,,0,0,0,0,-500,-4,-122,0,1751,18325,27445,10,32427,1
NS,Bay,MID,2,2,6,4,253,10,0,8.3,11197,366,0.207,24,19,2,9,0.78,0.62,0.29,0.07,0.104,12133,148,11985,0,396,0.256,0.26,0.8,,1,0,0,0,-1007,-6,16,0,1758,858,4515,25,10582,1
NS,deokdam,ADC,5,0,2,8.4,320,11,4,10.4,14991,489,0.277,45,17,12,9,1.47,0.55,0.29,0.39,0.195,14819,9452,4729,638,484,0.313,0.23,0.7,,1,1,0,0,-251,9,-224,0,7509,2220,8566,3,12162,1
NS,Kellin,SUPPORT,0,3,10,3.3,29,0,0,0.9,6996,228,0.129,82,59,7,19,2.68,1.93,0.62,0.23,0.355,3505,376,2667,462,114,0.074,0.33,1,,0,0,0,0,-172,0,-257,0,84,8923,14406,21,12902,1
SB,Summit,TOP,5,2,1,3,262,5,1,8.6,12705,415,0.25,42,17,12,11,1.37,0.55,0.36,0.39,0.188,21090,18347,2743,0,688,0.342,0.2,0.857,1,1,0,0,0,2230,33,1215,1,3268,4437,10863,5,14567,0
SB,Croco,JUNGLE,0,2,4,2,188,103,21,6.1,9196,300,0.181,46,17,15,13,1.5,0.55,0.42,0.49,0.206,10036,8645,523,868,328,0.163,0.13,0.571,,0,0,0,0,500,4,122,0,276,6884,10069,11,15887,0
SB,FATE,MID,0,1,3,3,274,24,0,8.9,11142,364,0.219,25,8,5,6,0.82,0.26,0.2,0.16,0.112,11990,866,10102,1022,391,0.195,0.1,0.429,,0,0,0,0,1007,6,-16,0,1498,4715,4652,17,10849,0
SB,Route,ADC,2,2,3,2.5,243,6,0,7.9,11285,368,0.222,28,12,5,5,0.91,0.39,0.16,0.16,0.126,13741,12586,1155,0,449,0.223,0.16,0.714,,0,0,0,0,251,-9,224,0,2485,3260,4303,18,9909,0
SB,Effort,SUPPORT,0,3,5,1.7,41,0,0,1.3,6567,214,0.129,82,52,9,18,2.68,1.7,0.59,0.29,0.368,4724,195,4529,0,154,0.077,0.16,0.714,,0,0,0,0,172,0,257,0,1000,698,17519,16,13802,0
DRX,kingen,TOP,3,3,7,3.3,303,8,0,8.4,14884,413,0.215,33,18,7,7,0.92,0.5,0.19,0.19,0.096,14420,11553,2867,0,400,0.232,0.28,0.769,,0,0,0,0,-1075,5,-491,-1,4964,6124,16532,20,19750,1
DRX,Pyosik,JUNGLE,7,0,2,10.8,301,150,25,8.4,16023,445,0.231,112,41,24,10,3.11,1.14,0.28,0.67,0.325,13680,11615,945,1120,380,0.22,0.25,0.692,,1,1,0,0,-558,18,647,1,6440,4773,27074,10,11888,1
DRX,SOLKA,MID,2,1,9,11,334,16,0,9.3,14904,414,0.215,40,23,6,9,1.11,0.64,0.25,0.17,0.116,18742,1149,17252,341,520,0.302,0.31,0.846,,0,0,0,0,-1034,15,-213,0,4760,5409,5571,7,10117,1
DRX,BAO,ADC,1,1,6,7,373,40,9,10.4,15332,425,0.221,50,14,18,4,1.39,0.39,0.11,0.5,0.145,12295,9468,572,2255,341,0.198,0.19,0.538,,0,0,0,0,294,2,-582,-1,9024,3403,10698,10,13393,1
