Team,Player,Role,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Damage dealt to turrets,Total heal,Damage self mitigated,Time ccing others,Total damage taken,Win
KT Rolster,HyBrid,ADC,4,1,3,7,295,20,2,9.8,13750,457,0.243,58,27,12,4,1.93,0.9,0.13,0.4,0.221,11504,8697,2602,205,382,0.217,0.23,0.438,,0,0,0,0,785,2,213,0,7009,2632,4709,1,7863,1
KT Rolster,Zzus,SUPPORT,0,2,10,5,28,0,0,0.9,6694,222,0.118,77,52,9,20,2.56,1.73,0.66,0.3,0.293,2814,45,2405,364,93,0.053,0.33,0.625,,0,0,0,0,191,-9,207,0,0,3513,12525,16,10830,1
DRX,kingen,TOP,1,3,3,1.3,253,9,0,8.4,11947,397,0.226,24,14,5,4,0.8,0.47,0.13,0.17,0.118,15889,13355,2534,0,528,0.288,0.13,0.571,,0,0,0,0,234,16,383,1,5055,4337,12311,5,13327,0
DRX,Pyosik,JUNGLE,0,3,5,1.7,218,144,10,7.2,10214,339,0.193,29,8,9,6,0.96,0.27,0.2,0.3,0.143,9455,68,7020,2367,314,0.171,0.17,0.714,,0,0,0,0,-189,10,40,0,569,13764,13339,12,26332,0
DRX,SOLKA,MID,2,3,5,2.3,278,12,1,9.2,11526,383,0.218,41,23,13,14,1.36,0.76,0.47,0.43,0.202,12061,773,11288,0,401,0.218,0.23,1,,1,0,0,0,-161,0,-133,0,41,2888,7843,21,12804,0
DRX,BAO,ADC,3,2,2,2.5,255,8,0,8.5,12357,411,0.234,30,13,11,4,1,0.43,0.13,0.37,0.148,10205,9102,722,381,339,0.185,0.17,0.714,,1,0,0,0,-785,-2,-213,0,2012,3757,11558,1,14220,0
DRX,Becca,SUPPORT,1,5,5,1.2,39,0,0,1.3,6804,226,0.129,79,47,11,16,2.62,1.56,0.53,0.37,0.389,7644,4272,76,3296,254,0.138,0.2,0.857,,0,0,0,0,-191,9,-207,0,0,1341,17437,21,15997,0
T1,Canna,TOP,7,3,4,3.7,363,6,17,8.5,17524,412,0.215,50,10,16,5,1.18,0.24,0.12,0.38,0.125,13954,8719,934,4301,328,0.14,0.26,0.478,,2,0,0,0,-1068,-16,-167,0,6806,16154,34200,14,38410,1
T1,Cuzz,JUNGLE,3,3,11,4.7,255,124,28,6,15008,353,0.184,80,13,28,11,1.88,0.31,0.26,0.66,0.2,19286,637,17034,1615,454,0.193,0.33,0.609,,0,0,0,0,-259,4,154,0,3298,12272,13506,18,24905,1
T1,Clozer,MID,5,5,5,2,381,33,0,9,16769,395,0.206,48,15,16,4,1.13,0.35,0.09,0.38,0.12,16430,488,15917,25,387,0.165,0.24,0.435,,0,0,0,0,-498,7,-146,0,2097,494,16153,22,16777,1
T1,Teddy,ADC,8,4,12,5,417,41,12,9.8,22044,519,0.271,88,18,20,2,2.07,0.42,0.05,0.47,0.219,44733,41460,2655,618,1053,0.448,0.47,0.87,1,1,0,0,0,1104,7,397,0,12876,3618,15691,15,20366,1
T1,Keria,SUPPORT,0,5,13,2.6,43,0,1,1,10026,236,0.123,135,92,20,31,3.18,2.17,0.73,0.47,0.337,5356,1112,3451,793,126,0.054,0.31,0.565,,0,0,0,0,483,2,24,0,663,1182,28889,31,18289,1
LSB,Summit,TOP,3,5,7,2,331,9,1,7.8,16592,391,0.207,40,26,7,12,0.94,0.61,0.28,0.16,0.103,18524,14858,3666,0,436,0.239,0.24,0.5,,0,0,0,0,1068,16,167,0,2592,9771,45554,32,34653,0
LSB,Croco,JUNGLE,1,6,9,1.7,231,122,10,5.4,12860,303,0.161,87,22,30,21,2.05,0.52,0.49,0.71,0.224,3833,1100,2243,490,90,0.049,0.24,0.5,,0,0,0,0,259,-4,-154,0,157,18175,49269,15,43877,0
LSB,FATE,MID,10,3,7,5.7,437,25,0,10.3,21750,512,0.272,40,18,3,8,0.94,0.42,0.19,0.07,0.103,34366,168,34123,75,809,0.443,0.4,0.85,3,2,0,0,0,498,-7,146,0,2352,2082,20700,23,14718,0
LSB,Leo,ADC,6,2,5,5.5,391,15,0,9.2,19467,458,0.243,82,38,13,4,1.93,0.89,0.09,0.31,0.211,14763,10277,4173,313,348,0.19,0.26,0.55,,1,0,0,0,-1104,-7,-397,0,1989,9701,13803,0,19719,0
LSB,Effort,SUPPORT,0,7,14,2,51,0,0,1.2,9438,222,0.118,139,77,29,23,3.27,1.81,0.54,0.68,0.358,6039,264,4513,1262,142,0.078,0.33,0.7,,0,0,0,0,-483,-2,-24,0,283,4734,26399,24,22187,0
LSB,Summit,TOP,4,2,6,5,236,3,0,7.1,11998,359,0.224,44,18,13,9,1.32,0.54,0.27,0.39,0.16,27006,21393,5613,0,809,0.333,0.3,0.769,2,0,0,0,0,275,-20,181,0,3914,6852,28988,56,28227,0
LSB,Croco,JUNGLE,2,5,5,1.4,133,82,1,4,9428,282,0.176,70,40,19,16,2.1,1.2,0.48,0.57,0.255,10436,9393,527,516,313,0.129,0.21,0.538,,0,0,0,0,-218,-38,-1549,-1,246,11367,15926,14,28662,0
LSB,FATE,MID,1,2,6,3.5,291,30,0,8.7,11928,357,0.223,31,20,2,10,0.93,0.6,0.3,0.06,0.113,20896,517,20289,90,626,0.257,0.21,0.538,,0,0,0,0,-33,3,302,0,559,981,15571,25,12810,0
LSB,Leo,ADC,6,4,3,2.3,237,8,0,7.1,13627,408,0.254,43,17,7,6,1.29,0.51,0.18,0.21,0.156,18834,16246,2066,522,564,0.232,0.27,0.692,1,1,0,0,0,-2750,-48,-721,-1,2664,4143,9735,25,16165,0
LSB,Effort,SUPPORT,0,6,5,0.8,39,0,0,1.2,6599,198,0.123,87,49,15,16,2.61,1.47,0.48,0.45,0.316,4019,391,3628,0,120,0.05,0.15,0.385,,0,0,0,0,-1191,16,-630,-1,0,3767,21410,14,18959,0
T1,Canna,TOP,2,5,7,1.8,317,7,13,9.5,13818,414,0.208,25,16,4,4,0.75,0.48,0.12,0.12,0.084,14178,8221,5957,0,425,0.183,0.27,0.474,,0,0,0,0,-275,20,-181,0,5208,11029,24569,10,30745,1
T1,Cuzz,JUNGLE,6,1,10,16,207,95,17,6.2,13379,401,0.201,77,15,28,11,2.31,0.45,0.33,0.84,0.259,13466,3604,8074,1788,403,0.174,0.48,0.842,2,2,0,0,0,218,38,1549,1,2702,26922,48960,29,39547,1
T1,Clozer,MID,1,1,12,13,289,29,0,8.7,12880,386,0.194,46,13,13,7,1.38,0.39,0.21,0.39,0.155,15848,569,15255,24,475,0.204,0.39,0.684,,0,0,0,0,33,-3,-302,0,2224,5539,10246,19,13806,1
T1,Teddy,ADC,7,4,9,4,311,16,5,9.3,16900,506,0.254,49,17,16,7,1.47,0.51,0.21,0.48,0.165,15482,15039,195,248,464,0.2,0.48,0.842,,1,0,0,0,2750,48,721,1,7654,7043,17812,22,17973,1
T1,Keria,SUPPORT,3,2,10,6.5,29,1,0,0.9,9464,283,0.142,100,50,21,18,3,1.5,0.54,0.63,0.337,18610,799,16229,1582,557,0.24,0.39,0.684,,0,0,0,0,1191,-16,630,1,3546,6527,11309,38,17406,1
NS,Rich,TOP,3,5,6,1.8,250,0,0,6.4,12516,320,0.196,46,21,8,9,1.17,0.54,0.23,0.2,0.136,23136,2738,20398,0,591,0.295,0.23,0.75,,1,0,0,0,-1194,-26,-902,-1,739,14636,44449,50,34922,0
NS,Peanut,JUNGLE,1,1,7,8,255,151,4,6.5,11836,302,0.185,80,13,35,10,2.04,0.33,0.26,0.89,0.237,11406,9685,1231,490,291,0.146,0.2,0.667,,0,0,0,0,-571,6,-201,-1,0,8062,28258,25,18183,0
NS,Bay,MID,2,2,5,3.5,372,24,0,9.5,15099,386,0.236,45,32,10,21,1.15,0.82,0.54,0.26,0.134,17967,1905,16062,0,459,0.229,0.18,0.583,,0,0,0,0,636,22,983,1,759,2675,14488,7,15327,0
NS,deokdam,ADC,6,3,3,3,396,38,0,10.1,17125,437,0.268,61,17,15,5,1.56,0.43,0.13,0.38,0.181,20690,15294,4613,783,528,0.264,0.23,0.75,,3,0,0,0,115,17,552,0,942,9111,12872,3,19455,0
NS,Kellin,SUPPORT,0,1,9,9,32,0,0,0.8,7442,190,0.116,105,89,4,31,2.68,2.27,0.79,0.1,0.312,5155,588,3767,800,132,0.066,0.23,0.75,,0,0,0,0,-231,15,-730,-1,0,5657,25434,24,15890,0
AF,Kiin,TOP,3,1,7,10,342,21,0,8.7,16314,417,0.241,52,21,8,7,1.33,0.54,0.18,0.2,0.132,32205,489,31566,150,823,0.403,0.26,0.833,,0,0,0,0,1194,26,902,1,8827,15769,41405,29,30630,1
AF,Dread,JUNGLE,3,2,8,5.5,214,109,8,5.5,12827,328,0.189,76,20,28,18,1.94,0.51,0.46,0.72,0.193,15451,10721,0,4730,395,0.194,0.28,0.917,,0,0,0,0,571,-6,201,1,2351,20575,36704,15,37386,1
AF,Fly,MID,2,3,6,2.7,329,13,6,8.4,14351,367,0.212,41,19,11,10,1.05,0.49,0.26,0.28,0.104,13354,396,12958,0,341,0.167,0.2,0.667,,0,0,0,0,-636,-22,-983,-1,2161,2382,12020,23,13928,1
AF,Bang,ADC,4,3,4,2.7,341,33,0,8.7,16052,410,0.237,84,19,18,7,2.15,0.49,0.18,0.46,0.214,11688,9844,1525,319,299,0.146,0.2,0.667,,1,0,0,0,-115,-17,-552,0,3840,7414,15135,3,22505,1
AF,Lehends,SUPPORT,0,3,10,3.3,29,0,0,0.7,8156,208,0.12,140,81,20,27,3.58,2.07,0.69,0.51,0.356,7143,853,5083,1207,182,0.089,0.26,0.833,,0,0,0,0,231,-15,730,1,1438,4734,14342,21,10446,1
AF,Kiin,TOP,1,3,6,2.3,347,19,1,8.6,16846,416,0.219,55,16,15,10,1.36,0.4,0.25,0.37,0.154,19635,14503,4679,453,485,0.204,0.17,0.412,1,0,0,0,0,387,-6,300,0,6171,10489,36800,28,32494,1
AF,Dread,JUNGLE,11,2,2,6.5,233,96,17,5.8,17849,441,0.232,75,18,22,16,1.85,0.44,0.4,0.54,0.211,21894,13981,747,7166,541,0.228,0.32,0.765,,2,0,1,0,1142,-5,67,0,4986,30659,46426,19,47315,1
AF,Fly,MID,4,2,9,6.5,352,36,0,8.7,17074,422,0.222,42,13,9,3,1.04,0.32,0.07,0.22,0.118,37882,339,37443,100,937,0.394,0.32,0.765,,1,0,0,0,94,5,-101,0,2840,5574,18884,23,15875,1
AF,Bang,ADC,1,5,9,2,338,39,8,8.4,15557,385,0.202,58,28,15,13,1.43,0.69,0.32,0.37,0.163,10416,8593,1372,451,258,0.108,0.25,0.588,,0,0,0,0,-485,-18,-981,-1,4537,6704,11796,6,21376,1
AF,Lehends,SUPPORT,0,5,10,2,64,4,0,1.6,9723,240,0.126,126,81,18,27,3.11,2,0.67,0.44,0.354,6251,521,5082,648,155,0.065,0.25,0.588,,0,0,0,0,-304,4,180,0,107,5370,22027,39,21507,1
NS,Rich,TOP,4,4,4,2,301,10,2,7.4,15901,393,0.223,37,13,10,5,0.91,0.32,0.12,0.25,0.095,34507,19299,10935,4273,853,0.35,0.2,0.471,,0,0,0,0,-387,6,-300,0,4890,14792,30627,18,33328,0
NS,Peanut,JUNGLE,2,4,10,3,229,120,9,5.7,13456,333,0.189,91,9,38,10,2.25,0.22,0.25,0.94,0.234,11038,4043,5823,1172,273,0.112,0.3,0.706,,0,0,0,0,-1142,5,-67,0,1876,17683,49848,33,40219,0
NS,Bay,MID,4,2,7,5.5,329,28,0,8.1,15188,375,0.213,44,20,10,8,1.09,0.49,0.2,0.25,0.113,26307,540,25362,405,650,0.267,0.27,0.647,,0,0,0,0,-94,-5,101,0,6322,3214,12918,24,14022,0
NS,deokdam,ADC,5,2,7,6,396,53,0,9.8,17749,439,0.249,91,21,17,9,2.25,0.52,0.22,0.42,0.234,20169,14670,5303,196,499,0.204,0.3,0.706,1,0,0,0,0,485,18,981,1,1545,11348,15779,1,19481,0
NS,Kellin,SUPPORT,2,5,11,2.6,33,0,0,0.8,9022,223,0.127,126,101,11,31,3.11,2.5,0.77,0.27,0.324,6687,393,5529,765,165,0.068,0.32,0.765,,0,0,0,0,304,-4,-180,0,0,2481,23432,27,18820,0
DWG KIA,Khan,TOP,1,6,4,0.8,308,7,1,8.9,14316,412,0.223,46,22,2,9,1.32,0.63,0.26,0.06,0.159,27168,25129,2039,0,782,0.334,0.14,0.625,,0,0,0,0,296,11,-249,-1,1404,3404,17077,32,19487,1
DWG KIA,Canyon,JUNGLE,3,0,1,4.8,260,137,24,7.5,13107,377,0.204,62,15,22,13,1.79,0.43,0.37,0.63,0.214,15165,855,13894,416,437,0.187,0.12,0.5,,0,0,0,0,601,0,372,0,2043,29718,25429,1,35620,1
DWG KIA,ShowMaker,MID,2,0,3,6,323,23,8,9.3,14384,414,0.224,36,18,2,6,1.04,0.52,0.17,0.06,0.124,22098,843,21092,163,636,0.272,0.14,0.625,,0,0,0,0,-137,15,-51,0,3566,1497,4734,30,7876,1
DWG KIA,Ghost,ADC,2,0,1,3.6,315,19,8,9.1,14732,424,0.23,74,39,14,11,2.13,1.12,0.32,0.4,0.255,12723,5596,7037,90,366,0.157,0.09,0.375,,0,0,0,0,-408,-17,160,0,8172,5202,6533,0,12253,1
DWG KIA,BeryL,SUPPORT,0,6,1,0.2,32,0,0,0.9,7579,218,0.118,72,52,6,16,2.07,1.5,0.46,0.17,0.248,4104,202,3182,720,118,0.051,0.03,0.125,,0,0,0,0,-77,18,-273,-1,0,4996,27415,21,22404,1
HLE,DuDu,TOP,6,3,0,2,289,4,0,8.3,12952,373,0.218,37,9,14,1,1.07,0.26,0.03,0.4,0.127,10480,9805,675,0,302,0.188,0.17,0.5,,0,0,0,0,-296,-11,249,1,0,10207,26822,12,34018,0
HLE,Arthur,JUNGLE,2,1,6,8,225,118,8,6.5,10875,313,0.183,74,17,28,18,2.13,0.49,0.52,0.81,0.254,5142,2076,2414,652,148,0.092,0.23,0.667,,0,0,0,0,-601,0,-372,0,0,18232,34030,14,35537,0
HLE,Chovy,MID,1,2,9,5,324,12,0,9.3,15002,432,0.252,38,16,12,4,1.09,0.46,0.12,0.35,0.131,15017,1744,13081,192,432,0.269,0.29,0.833,,0,0,0,0,137,-15,51,0,5863,5516,16319,24,20196,0
HLE,Deft,ADC,3,0,6,10.8,296,20,0,8.5,13784,397,0.232,58,15,21,5,1.67,0.43,0.14,0.6,0.199,19691,17190,611,1890,567,0.353,0.26,0.75,,0,0,0,0,408,17,-160,0,1274,11316,5536,30,10528,0
HLE,Vsta,SUPPORT,0,2,5,2.5,15,0,0,0.4,6886,198,0.116,84,53,12,18,2.42,1.53,0.52,0.35,0.289,5415,65,4928,422,156,0.097,0.14,0.417,,0,0,0,0,77,-18,273,1,73,8072,8987,20,16498,0
HLE,DuDu,TOP,1,3,4,1.7,245,7,0,8.2,10524,354,0.215,31,11,5,5,1.04,0.37,0.17,0.17,0.133,8368,7649,719,0,282,0.134,0.17,0.5,,0,0,0,0,500,26,454,0,2972,6537,15783,20,31944,0
HLE,Arthur,JUNGLE,0,7,5,0.7,135,74,6,4.5,7787,262,0.159,41,24,6,14,1.38,0.81,0.47,0.2,0.176,7437,6953,294,190,250,0.119,0.17,0.5,,0,0,0,0,-374,-10,-683,0,0,8067,16022,8,28428,0
HLE,Chovy,MID,3,4,2,1.3,282,9,4,9.5,12759,430,0.261,43,15,10,7,1.45,0.51,0.24,0.34,0.185,23245,2065,21180,0,783,0.372,0.17,0.5,1,0,0,0,0,-776,15,287,0,1753,3912,11762,14,19314,0
HLE,Deft,ADC,5,6,2,1.2,196,8,4,6.6,10333,348,0.212,35,12,12,4,1.18,0.4,0.13,0.4,0.15,13293,7934,0,5359,448,0.213,0.24,0.7,,1,0,0,0,-1043,-14,-353,0,325,4028,6518,7,16309,0
HLE,Vsta,SUPPORT,1,5,6,1.4,24,0,0,0.8,7434,250,0.152,83,47,12,20,2.79,1.58,0.67,0.4,0.356,10119,9802,317,0,341,0.162,0.24,0.7,,0,0,0,0,-703,5,-137,0,0,9846,5218,32,14946,0
DWG KIA,Khan,TOP,2,1,14,16,190,12,2,6.4,10413,351,0.175,24,16,5,9,0.81,0.54,0.3,0.17,0.101,17544,11940,5604,0,591,0.199,0.54,0.64,,0,0,0,0,-500,-26,-454,0,1268,5316,54555,46,25437,1
DWG KIA,Canyon,JUNGLE,3,3,15,6,167,80,9,5.6,11220,378,0.189,57,11,18,11,1.92,0.37,0.37,0.61,0.239,6896,2621,3991,284,232,0.078,0.61,0.72,,0,0,0,0,374,10,683,0,1151,16294,36428,18,36675,1
DWG KIA,ShowMaker,MID,11,0,11,26.4,234,12,10,7.9,14773,497,0.249,35,10,6,3,1.18,0.34,0.1,0.2,0.147,31913,2059,27875,1979,1075,0.362,0.74,0.88,,2,1,0,0,776,-15,-287,0,6067,3057,5951,35,10962,1
DWG KIA,Ghost,ADC,8,2,9,8.5,235,12,12,7.9,13904,468,0.234,46,21,6,8,1.55,0.71,0.27,0.2,0.193,17168,11659,5034,475,578,0.195,0.57,0.68,,2,0,0,0,1043,14,353,0,10456,5820,8513,2,14599,1
DWG KIA,BeryL,SUPPORT,1,4,21,5.5,24,0,0,0.8,9052,305,0.152,76,39,11,13,2.56,1.31,0.44,0.37,0.319,14518,2562,10824,1132,489,0.165,0.74,0.88,,0,0,0,0,703,-5,137,0,1795,12972,8518,24,10865,1
BRO,Hoya,TOP,3,0,0,3.6,283,3,4,7.5,13690,361,0.214,45,23,8,8,1.19,0.61,0.21,0.21,0.134,16029,270,15759,0,423,0.269,0.08,0.333,,0,0,0,0,-2030,-23,-614,0,532,11077,20197,21,22622,0
BRO,Chieftain,JUNGLE,3,4,6,2.3,250,141,20,6.6,12853,339,0.201,70,11,23,11,1.85,0.29,0.29,0.61,0.208,14594,464,12877,1253,385,0.245,0.24,1,,0,0,0,0,488,6,311,0,316,13508,13693,14,26138,0
BRO,Lava,MID,2,2,5,3.5,335,14,8,8.8,14172,374,0.222,57,22,21,9,1.5,0.58,0.24,0.55,0.17,9580,6455,2038,1087,253,0.161,0.18,0.778,,0,0,0,0,-162,-16,-160,0,2297,3939,24505,13,18813,0
BRO,Hena,ADC,1,4,7,2,351,24,0,9.3,14874,392,0.233,52,19,13,10,1.37,0.5,0.26,0.34,0.155,14005,12484,901,620,370,0.235,0.21,0.889,,0,0,0,0,689,5,617,0,1992,949,12648,46,20406,0
BRO,Delight,SUPPORT,0,3,7,2.3,29,0,0,0.8,8287,219,0.13,112,71,17,23,2.96,1.87,0.61,0.45,0.333,5408,1181,4227,0,143,0.091,0.18,0.778,,0,0,0,0,220,-13,298,0,603,6560,7423,28,10139,0
DRX,kingen,TOP,7,1,3,10,353,4,5,9.3,17366,458,0.243,42,15,9,4,1.11,0.4,0.11,0.24,0.121,25476,22175,3173,128,672,0.355,0.26,0.769,,0,1,0,0,2030,23,614,0,7533,11677,48714,38,28391,1
DRX,Pyosik,JUNGLE,1,2,4,2.5,310,168,29,8.2,13979,369,0.196,72,29,13,7,1.9,0.77,0.18,0.34,0.207,10974,0,8222,2752,290,0.153,0.13,0.385,,0,0,0,0,-488,-6,-311,0,382,15472,20848,23,30371,1
DRX,SOLKA,MID,2,1,9,11,313,9,8,8.3,14710,388,0.206,53,26,13,12,1.4,0.69,0.32,0.34,0.153,13789,1446,12343,0,364,0.192,0.29,0.846,,0,0,0,0,162,16,160,0,5438,1929,7671,18,8083,1
DRX,BAO,ADC,2,3,7,3,384,24,0,10.1,16077,424,0.225,65,17,22,5,1.72,0.45,0.13,0.58,0.187,17807,15022,962,1823,470,0.248,0.24,0.692,,0,0,0,0,-689,-5,-617,0,4714,4065,18501,22,14266,1
DRX,Becca,SUPPORT,1,2,11,6,47,0,0,1.2,9203,243,0.129,115,69,20,20,3.03,1.82,0.53,0.53,0.331,3667,206,2725,736,97,0.051,0.32,0.923,,0,0,0,0,-220,13,-298,0,596,1913,16287,16,12815,1
DRX,kingen,TOP,0,2,0,0,268,1,0,9.2,10761,369,0.235,30,13,4,9,1.03,0.45,0.31,0.14,0.109,9260,9260,0,0,317,0.366,0,0,,0,0,0,0,630,10,-222,0,5438,5968,16496,19,18892,0
DRX,Pyosik,JUNGLE,0,2,0,0,222,132,4,7.6,9876,338,0.216,106,40,29,7,3.63,1.37,0.24,0.99,0.384,5559,5094,238,227,190,0.219,0,0,,0,0,0,0,-254,-22,-1069,-1,1147,2685,18087,7,8590,0
DRX,SOLKA,MID,0,1,0,0,261,17,0,8.9,9601,329,0.21,37,15,9,8,1.27,0.51,0.27,0.31,0.134,6365,425,5940,0,218,0.251,0,0,,0,0,0,0,-309,9,302,1,346,1465,7282,13,7820,0
DRX,BAO,ADC,0,1,0,0,255,4,0,8.7,9771,335,0.214,31,11,16,2,1.06,0.38,0.07,0.55,0.112,3158,2743,415,0,108,0.125,0,0,,0,0,0,0,-417,-12,-205,0,1152,1838,9489,0,10779,0
DRX,Becca,SUPPORT,0,2,0,0,35,0,0,1.2,5752,197,0.126,72,47,10,12,2.47,1.61,0.41,0.34,0.261,991,143,632,216,34,0.039,0,0,,0,0,0,0,167,-1,-290,-1,224,191,10936,3,8995,0
BRO,Hoya,TOP,1,0,5,7.2,233,8,0,8,10710,367,0.196,38,20,5,9,1.3,0.68,0.31,0.17,0.144,9563,567,8996,0,328,0.268,0.21,0.75,,0,0,0,0,-630,-10,222,0,3069,7046,10669,23,12837,1
BRO,UmTi,JUNGLE,2,0,4,7.2,234,132,16,8,11449,392,0.21,70,30,21,10,2.4,1.03,0.34,0.72,0.265,10246,215,9767,264,351,0.287,0.21,0.75,,0,0,0,0,254,22,1069,1,674,10455,7343,6,16175,1
BRO,Lava,MID,1,0,5,7.2,261,12,5,8.9,12116,415,0.222,36,14,12,4,1.23,0.48,0.14,0.41,0.136,6441,6025,416,0,221,0.18,0.21,0.75,,0,0,0,0,309,-9,-302,-1,11905,1708,4793,0,9199,1
BRO,Hena,ADC,4,0,1,6,299,8,0,10.2,13431,460,0.246,37,19,9,10,1.27,0.65,0.34,0.31,0.14,8500,8034,146,320,291,0.238,0.17,0.625,,0,1,0,0,417,12,205,0,6233,988,9624,8,5302,1
BRO,Delight,SUPPORT,0,0,5,6,40,0,0,1.4,6883,236,0.126,83,53,17,17,2.84,1.82,0.58,0.58,0.314,984,136,674,174,34,0.028,0.17,0.625,,0,0,0,0,-167,1,290,1,597,4484,7964,8,5386,1
BRO,Hoya,TOP,0,3,4,1.3,267,1,0,7.4,11116,307,0.18,48,24,4,11,1.32,0.66,0.3,0.11,0.146,15445,447,14998,0,426,0.234,0.11,0.5,,0,0,0,0,-777,-14,32,0,0,13418,22089,27,25895,0
BRO,UmTi,JUNGLE,2,2,4,3,252,126,18,7,11945,330,0.194,79,40,15,15,2.18,1.1,0.41,0.41,0.241,13286,499,8554,4233,367,0.201,0.17,0.75,,0,0,0,0,708,26,1760,2,246,13744,20125,35,29261,0
BRO,Lava,MID,4,2,1,2.5,352,20,3,9.7,15504,428,0.252,48,13,15,8,1.32,0.36,0.22,0.41,0.146,16843,15408,1435,0,465,0.255,0.14,0.625,,0,0,0,0,992,10,-222,-1,6145,6759,12770,0,22178,0
BRO,Hena,ADC,2,2,5,3.5,358,20,0,9.9,15309,422,0.248,48,15,19,5,1.32,0.41,0.14,0.52,0.146,17724,17470,63,191,489,0.268,0.19,0.875,,0,0,0,0,1408,17,827,1,3740,3700,23438,17,17882,0
BRO,Delight,SUPPORT,0,3,8,2.7,42,0,0,1.2,7753,214,0.126,105,67,12,19,2.9,1.85,0.52,0.33,0.32,2814,629,981,1204,78,0.043,0.22,1,,0,0,0,0,92,-3,222,0,0,7057,24269,18,14617,0
DRX,kingen,TOP,2,0,8,12,325,5,0,9,15443,426,0.225,64,17,15,5,1.77,0.47,0.14,0.41,0.203,19899,16938,2961,0,549,0.254,0.28,0.833,,0,0,0,0,777,14,-32,0,8921,14682,41919,28,28883,1
DRX,Pyosik,JUNGLE,1,2,6,3.5,273,129,20,7.5,13562,374,0.198,87,9,39,7,2.4,0.25,0.19,1.08,0.275,14938,7678,4431,2829,412,0.191,0.19,0.583,1,0,0,0,0,-708,-26,-1760,-2,1681,14471,13642,8,26731,1
DRX,SOLKA,MID,0,1,6,6,303,25,4,8.4,13731,379,0.2,40,18,6,7,1.1,0.5,0.19,0.17,0.127,24842,407,24435,0,685,0.317,0.17,0.5,,0,0,0,0,-992,-10,222,1,5907,3877,17235,16,12438,1
DRX,BAO,ADC,7,1,2,9,322,17,1,8.9,16487,455,0.24,28,15,14,4,0.77,0.41,0.11,0.39,0.089,12964,11482,1288,194,358,0.166,0.25,0.75,,1,1,0,0,-1408,-17,-827,-1,5099,5938,15490,2,16300,1
DRX,Becca,SUPPORT,2,4,7,2.3,47,0,0,1.3,9429,260,0.137,97,64,12,19,2.68,1.77,0.52,0.33,0.307,5639,0,4759,880,156,0.072,0.25,0.75,,1,0,0,0,-92,3,-222,0,918,1813,29003,11,17815,1
LSB,Summit,TOP,1,4,1,0.5,211,4,0,7.1,9037,303,0.207,27,12,3,5,0.91,0.4,0.17,0.1,0.128,18717,18717,0,0,628,0.414,0.07,0.667,,0,0,0,0,-524,-4,-403,0,0,11625,19375,22,32519,0
LSB,Croco,JUNGLE,1,5,1,0.4,157,109,4,5.3,8630,289,0.198,36,18,9,18,1.21,0.6,0.6,0.3,0.171,5371,1965,2710,696,180,0.119,0.07,0.667,1,0,0,0,0,-465,-19,-1343,-2,0,11536,24395,15,29068,0
LSB,FATE,MID,0,2,2,1,261,17,0,8.8,9756,327,0.224,27,15,5,6,0.91,0.5,0.2,0.17,0.128,12612,591,12021,0,423,0.279,0.07,0.667,,0,0,0,0,-592,-15,-582,-1,0,2001,7875,20,11261,0
LSB,Leo,ADC,0,3,1,0.3,262,4,0,8.8,9970,334,0.229,35,13,10,4,1.17,0.44,0.13,0.34,0.166,4764,4441,323,0,160,0.105,0.03,0.333,,0,0,0,0,-436,-14,-699,-1,0,1800,10355,1,13391,0
LSB,Effort,SUPPORT,1,4,1,0.5,33,0,0,1.1,6179,207,0.142,86,51,12,16,2.88,1.71,0.54,0.4,0.408,3718,0,3206,512,125,0.082,0.07,0.667,,0,0,0,0,-487,-2,-165,0,0,454,25442,16,14675,0
GEN,Rascal,TOP,4,1,6,10,242,8,1,8.1,11746,394,0.201,26,10,5,7,0.87,0.34,0.23,0.17,0.104,19603,2407,16064,1132,657,0.262,0.34,0.556,,0,0,0,0,524,4,403,0,2296,15482,13013,4,25025,1
GEN,Flawless,JUNGLE,7,0,6,15.6,180,106,1,6,11747,394,0.201,51,11,14,12,1.71,0.37,0.4,0.47,0.204,14420,9151,229,5040,484,0.193,0.44,0.722,,0,0,0,0,465,19,1343,2,3456,20931,22133,7,30288,1
GEN,Bdd,MID,3,1,9,12,254,8,0,8.5,12001,402,0.206,45,15,14,11,1.51,0.5,0.37,0.47,0.18,17693,183,17510,0,593,0.236,0.4,0.667,,0,0,0,0,592,15,582,1,5931,2063,6239,12,9585,1
GEN,Ruler,ADC,3,0,8,13.2,343,16,9,11.5,14971,502,0.257,40,12,13,3,1.34,0.4,0.1,0.44,0.16,19725,18092,723,910,662,0.263,0.37,0.611,1,0,0,0,0,436,14,699,1,10096,1412,6575,10,5321,1
